      32      32
       0       0      -1.4355780
       1       0      -2.2952516
       2       0      -1.9347277
       3       0      -2.9666448
       4       0      -4.2274132
       5       0      -4.8824787
       6       0      -5.1356268
       7       0      -4.1414518
       8       0      -4.6899552
       9       0      -6.4028521
      10       0      -5.0593681
      11       0      -2.0438275
      12       0      -0.5687995
      13       0      -0.1437999
      14       0      -0.6784378
      15       0       1.0665621
      16       0       4.6513929
      17       0       5.7238598
      18       0       5.9700356
      19       0       5.0810685
      20       0       4.7363777
      21       0       4.7672739
      22       0       3.7061698
      23       0       2.9444168
      24       0       2.0978494
      25       0       0.9995694
      26       0       0.9353530
      27       0       0.6562504
      28       0      -0.8731465
      29       0      -1.3729769
      30       0      -1.2980967
      31       0      -1.4506115
       0       1      -2.6553752
       1       1      -3.5405583
       2       1      -2.4933262
       3       1      -3.8220840
       4       1      -4.5945559
       5       1      -4.8693633
       6       1      -4.3811345
       7       1      -4.7040911
       8       1      -5.2780299
       9       1      -6.5079737
      10       1      -4.3627958
      11       1      -2.4122062
      12       1      -1.5299823
      13       1      -1.7025497
      14       1      -1.5189893
      15       1       0.7611384
      16       1       3.4221175
      17       1       3.2796125
      18       1       3.8513427
      19       1       4.8384957
      20       1       4.1965055
      21       1       2.9963906
      22       1       2.4552846
      23       1       2.6649573
      24       1       2.5479655
      25       1       1.1913252
      26       1       0.1644006
      27       1      -0.4814718
      28       1      -0.9684935
      29       1      -0.7294356
      30       1      -2.1501718
      31       1      -1.8897700
       0       2      -2.5577869
       1       2      -3.4337778
       2       2      -3.5800881
       3       2      -3.8661275
       4       2      -4.2022586
       5       2      -4.4882917
       6       2      -4.0245910
       7       2      -4.9064941
       8       2      -5.5900807
       9       2      -5.1385465
      10       2      -4.2690783
      11       2      -3.0261631
      12       2      -2.7920160
      13       2      -1.0349627
      14       2       0.2923571
      15       2       0.0222944
      16       2       1.5704135
      17       2       2.1763039
      18       2       2.9953976
      19       2       3.7728028
      20       2       3.0746713
      21       2       2.2441833
      22       2       0.5143042
      23       2       1.4018999
      24       2       1.8871878
      25       2       1.2322222
      26       2       0.7011681
      27       2      -0.3360554
      28       2      -0.8002914
      29       2      -0.0414246
      30       2      -0.9996126
      31       2      -2.1420527
       0       3      -1.9086168
       1       3      -2.5488739
       2       3      -3.7061713
       3       3      -3.6211789
       4       3      -2.9829111
       5       3      -3.9640985
       6       3      -3.8254409
       7       3      -3.8670282
       8       3      -4.3766460
       9       3      -3.4454198
      10       3      -2.4703882
      11       3      -1.8166612
      12       3      -2.2506104
      13       3      -0.5308432
      14       3       0.4335279
      15       3       0.6078077
      16       3       1.4342761
      17       3       2.4848304
      18       3       3.1236656
      19       3       3.2432458
      20       3       3.5241289
      21       3       3.4911871
      22       3       0.6889997
      23       3      -0.2778789
      24       3       1.4394958
      25       3       2.2324800
      26       3       0.9500069
      27       3      -0.0055674
      28       3      -0.8198616
      29       3       0.0674983
      30       3       0.5861682
      31       3      -2.0131757
       0       4      -0.9257218
       1       4      -1.7490610
       2       4      -2.6430459
       3       4      -1.8117673
       4       4      -1.2327263
       5       4      -2.3333433
       6       4      -2.6326604
       7       4      -2.1267684
       8       4      -2.8745952
       9       4      -2.3052528
      10       4      -0.8440919
      11       4      -1.4658461
      12       4      -1.7402409
      13       4      -0.5685855
      14       4       0.2850104
      15       4       1.2272913
      16       4       0.9974285
      17       4       2.2633252
      18       4       3.0640569
      19       4       2.8857830
      20       4       2.2165318
      21       4       2.3724692
      22       4       1.6581111
      23       4       1.1478612
      24       4       1.6060251
      25       4       1.8106869
      26       4       1.0760143
      27       4       0.1589661
      28       4      -0.2927848
      29       4       0.4203063
      30       4       0.1899329
      31       4      -1.1879454
       0       5      -0.8243308
       1       5      -1.7791541
       2       5      -0.9857103
       3       5      -0.2756759
       4       5      -1.0396703
       5       5      -2.7027259
       6       5      -1.4416553
       7       5      -0.3111137
       8       5      -0.6613004
       9       5      -0.6194896
      10       5      -0.5334185
      11       5      -0.6704901
      12       5      -0.6936347
      13       5      -0.0052115
      14       5       0.2543285
      15       5       1.3384405
      16       5       1.3620195
      17       5       1.5226912
      18       5       1.4669660
      19       5       1.6853348
      20       5       2.0981917
      21       5       2.0276995
      22       5       1.9811844
      23       5       2.1444607
      24       5       1.7887475
      25       5       1.5187136
      26       5       0.5829786
      27       5       0.6392835
      28       5       0.4298015
      29       5       0.2876334
      30       5      -0.0216954
      31       5      -0.4444051
       0       6      -0.6204958
       1       6      -1.3157560
       2       6       0.3403298
       3       6       0.6143618
       4       6      -1.3709543
       5       6      -1.6633003
       6       6      -0.5188963
       7       6      -0.6352425
       8       6      -0.2613474
       9       6      -0.8193105
      10       6      -0.8033119
      11       6       0.2959888
      12       6       1.2019989
      13       6       1.2930403
      14       6      -0.0003338
      15       6       0.3176100
      16       6       0.7327187
      17       6       1.4283551
      18       6       1.2767015
      19       6       1.5718150
      20       6       2.5559807
      21       6       2.8413479
      22       6       3.0669873
      23       6       3.0891571
      24       6       1.9536721
      25       6       1.4179822
      26       6       0.7244354
      27       6       0.5817584
      28       6       0.1575994
      29       6       0.1653072
      30       6      -0.0661028
      31       6      -0.6081511
       0       7       0.4516853
       1       7      -0.0648544
       2       7      -0.1118561
       3       7      -0.7161480
       4       7      -1.6500051
       5       7      -1.2612345
       6       7      -0.6577421
       7       7      -1.4240687
       8       7      -0.8252664
       9       7      -0.5100958
      10       7      -0.9153953
      11       7       0.3171620
      12       7       1.6245424
      13       7       0.4782626
      14       7      -1.1362088
      15       7      -0.5583689
      16       7      -0.5746640
      17       7       0.4204603
      18       7       0.5333762
      19       7       1.3142872
      20       7       2.3061354
      21       7       3.1766331
      22       7       3.5413256
      23       7       4.0963573
      24       7       2.7063861
      25       7       1.7527759
      26       7      -0.1890187
      27       7      -1.2322053
      28       7      -0.2206866
      29       7       0.6352476
      30       7       0.5808682
      31       7      -0.3417110
       0       8      -0.4668626
       1       8      -0.0327238
       2       8      -1.2434497
       3       8      -2.5849319
       4       8      -2.4497361
       5       8      -2.3237584
       6       8      -1.8217517
       7       8      -1.9850622
       8       8      -1.2152457
       9       8      -0.2419953
      10       8      -0.6540222
      11       8      -0.1254191
      12       8       0.7784637
      13       8      -0.9873850
      14       8      -2.0146654
      15       8      -1.1497327
      16       8      -1.3146327
      17       8      -0.2120875
      18       8       0.6097168
      19       8       2.1399665
      20       8       2.3604603
      21       8       2.9943664
      22       8       3.6624985
      23       8       4.5626163
      24       8       3.8477349
      25       8       2.1777091
      26       8      -0.2293937
      27       8      -0.7629350
      28       8      -0.1599417
      29       8       0.0635777
      30       8      -0.5351329
      31       8      -1.5068427
       0       9      -1.7286346
       1       9      -0.5025268
       2       9      -0.4896519
       3       9      -2.1186364
       4       9      -2.5049872
       5       9      -2.3982782
       6       9      -1.7067094
       7       9      -2.2714005
       8       9      -2.4568903
       9       9      -0.9787496
      10       9      -0.8601021
      11       9      -0.5249243
      12       9      -0.3269877
      13       9      -0.4709320
      14       9      -0.3033694
      15       9      -0.8234172
      16       9      -0.0758049
      17       9       0.7094274
      18       9       0.9453807
      19       9       1.9659593
      20       9       1.8447175
      21       9       2.1593475
      22       9       3.8208947
      23       9       3.8659477
      24       9       3.0014923
      25       9       2.2473488
      26       9       0.4112332
      27       9      -0.5485857
      28       9      -0.5535923
      29       9      -0.3551143
      30       9      -1.0832673
      31       9      -2.0115502
       0      10      -0.8264472
       1      10      -1.4940039
       2      10      -0.8141571
       3      10      -1.7467474
       4      10      -2.3554404
       5      10      -1.8759205
       6      10      -1.4181404
       7      10      -2.1634109
       8      10      -1.2954131
       9      10      -0.3852464
      10      10      -1.1093997
      11      10      -0.5355009
      12      10      -0.0807616
      13      10      -0.1921661
      14      10       0.6597468
      15      10       0.8578716
      16      10       1.3705876
      17      10       2.1229672
      18      10       1.2729191
      19      10       2.7046709
      20      10       2.6865127
      21      10       3.0443757
      22      10       3.1996827
      23      10       2.2761705
      24      10       1.9858166
      25      10       2.0937395
      26      10       1.4091400
      27      10       1.2793275
      28      10       1.3338822
      29      10       0.1289108
      30      10      -0.6981290
      31      10      -0.9399334
       0      11      -1.5850365
       1      11      -2.0544446
       2      11      -1.4331571
       3      11      -1.1820284
       4      11      -0.5337701
       5      11      -0.0713117
       6      11      -1.0216386
       7      11      -1.5128219
       8      11      -0.3377724
       9      11      -0.4643193
      10      11      -0.9478819
      11      11      -0.5832280
      12      11       0.1635935
      13      11      -0.3012249
      14      11      -0.1174410
      15      11       0.1930116
      16      11       1.4804227
      17      11       1.7205595
      18      11       2.6847067
      19      11       3.6163993
      20      11       3.0999601
      21      11       3.3638351
      22      11       3.3994768
      23      11       2.6050227
      24      11       1.8670671
      25      11       2.7523632
      26      11       1.9455483
      27      11       1.9311217
      28      11       1.4795966
      29      11       0.6326643
      30      11      -0.6310441
      31      11      -0.7549629
       0      12      -0.5149392
       1      12      -2.0811343
       2      12      -2.3913903
       3      12      -2.8982973
       4      12      -1.6672225
       5      12      -1.0432246
       6      12      -2.2451367
       7      12      -2.1865802
       8      12      -1.1631334
       9      12      -1.1839887
      10      12      -2.2180343
      11      12      -1.6834695
      12      12      -1.1976755
      13      12      -1.2298410
      14      12      -0.1266015
      15      12       1.0846192
      16      12       0.7064585
      17      12       0.9494864
      18      12       2.1583462
      19      12       3.1594267
      20      12       4.0976481
      21      12       4.0334034
      22      12       3.3227034
      23      12       3.5354109
      24      12       3.4420488
      25      12       2.5543437
      26      12       2.4732823
      27      12       2.6652954
      28      12       1.9632075
      29      12       0.6726450
      30      12      -0.4241613
      31      12      -0.3689721
       0      13      -0.3965415
       1      13      -1.6195157
       2      13      -1.6010139
       3      13      -3.0800066
       4      13      -3.5970075
       5      13      -2.7019441
       6      13      -2.8248804
       7      13      -3.1777186
       8      13      -2.9574630
       9      13      -2.9291136
      10      13      -3.5009513
      11      13      -3.0207591
      12      13      -1.4705074
      13      13      -1.6210384
      14      13      -1.3306751
      15      13       1.3825803
      16      13       2.2099800
      17      13       2.0034463
      18      13       2.8460066
      19      13       3.5664539
      20      13       5.4794536
      21      13       5.7661381
      22      13       4.5243282
      23      13       4.7910762
      24      13       4.3671188
      25      13       2.9991481
      26      13       2.5417948
      27      13       2.9402113
      28      13       1.9726322
      29      13       0.7245792
      30      13       0.4383052
      31      13      -0.0210968
       0      14      -0.3639967
       1      14      -0.5452973
       2      14      -1.1249056
       3      14      -3.5405688
       4      14      -4.1824193
       5      14      -3.2534528
       6      14      -2.9585910
       7      14      -2.7800300
       8      14      -3.5599542
       9      14      -3.1550128
      10      14      -2.8006287
      11      14      -3.2054584
      12      14      -1.6192740
      13      14      -0.9756966
      14      14      -1.4294832
      15      14       0.7289317
      16      14       1.9551694
      17      14       3.1673417
      18      14       4.0446725
      19      14       4.8860497
      20      14       5.6736665
      21      14       6.0770774
      22      14       5.5476050
      23      14       5.6923447
      24      14       4.7645469
      25      14       3.2433665
      26      14       3.4385481
      27      14       3.0367029
      28      14       2.8665166
      29      14       1.9529235
      30      14       0.5338288
      31      14      -0.0977603
       0      15      -1.0918305
       1      15      -1.0876093
       2      15      -1.8964952
       3      15      -3.3445725
       4      15      -4.2673893
       5      15      -4.2585168
       6      15      -3.9158006
       7      15      -2.3943388
       8      15      -3.0077555
       9      15      -3.0035522
      10      15      -3.0012126
      11      15      -2.6597023
      12      15      -1.1909674
      13      15       0.0827150
      14      15      -0.4032856
      15      15      -0.3535461
      16      15       1.2416120
      17      15       2.4836252
      18      15       4.1995220
      19      15       5.0646529
      20      15       5.7601347
      21      15       5.8374572
      22      15       5.7549901
      23      15       5.9482918
      24      15       5.7221222
      25      15       4.3807497
      26      15       4.0517993
      27      15       3.8609896
      28      15       3.3743763
      29      15       2.4272084
      30      15       0.9518039
      31      15      -0.4915034
       0      16      -1.5180672
       1      16      -1.5258344
       2      16      -1.6089637
       3      16      -3.3946931
       4      16      -4.1256800
       5      16      -4.7657647
       6      16      -4.1618199
       7      16      -3.0949628
       8      16      -3.0029588
       9      16      -3.2229414
      10      16      -3.2312393
      11      16      -3.1454670
      12      16      -2.3204973
      13      16      -0.6398584
      14      16       0.3930159
      15      16       0.7235711
      16      16       1.3880433
      17      16       2.1779604
      18      16       4.3060513
      19      16       5.0283422
      20      16       5.3413534
      21      16       6.5986791
      22      16       5.3427148
      23      16       6.5131521
      24      16       6.8249869
      25      16       5.5673590
      26      16       4.3426418
      27      16       3.5720451
      28      16       2.6767170
      29      16       2.2069316
      30      16       1.6831408
      31      16      -0.9929078
       0      17      -1.8437692
       1      17      -2.5209584
       2      17      -3.8632200
       3      17      -3.1983156
       4      17      -3.3064451
       5      17      -4.8305349
       6      17      -5.4529042
       7      17      -4.4874916
       8      17      -4.1048059
       9      17      -4.1939244
      10      17      -4.7971377
      11      17      -3.0875020
      12      17      -3.0537596
      13      17      -1.3188269
      14      17       2.1915112
      15      17       2.9700594
      16      17       2.3155565
      17      17       2.9469552
      18      17       4.8052855
      19      17       5.7711172
      20      17       6.2918787
      21      17       6.8727312
      22      17       6.5482516
      23      17       6.7419491
      24      17       7.2876320
      25      17       5.3425145
      26      17       4.7170434
      27      17       4.4855237
      28      17       2.6610308
      29      17       1.2992275
      30      17       0.3411142
      31      17      -1.2552052
       0      18      -2.6768427
       1      18      -3.4068289
       2      18      -5.0084143
       3      18      -4.7723556
       4      18      -5.0388002
       5      18      -5.4492526
       6      18      -5.4032612
       7      18      -4.9305434
       8      18      -4.2427626
       9      18      -3.7610531
      10      18      -4.2220187
      11      18      -3.3958354
      12      18      -3.5249481
      13      18      -1.3386452
      14      18       1.3456215
      15      18       1.9254198
      16      18       1.7651390
      17      18       3.1418915
      18      18       5.5987625
      19      18       6.7786412
      20      18       7.1690893
      21      18       8.4301186
      22      18       8.3896523
      23      18       7.3372083
      24      18       8.4959135
      25      18       7.2119961
      26      18       5.8394952
      27      18       5.2297587
      28      18       2.6504564
      29      18       0.6710824
      30      18      -1.3141178
      31      18      -2.5101418
       0      19      -3.6585031
       1      19      -4.8127580
       2      19      -6.1003733
       3      19      -6.0220165
       4      19      -5.6229744
       5      19      -5.2643161
       6      19      -5.4650211
       7      19      -5.3784719
       8      19      -4.4374857
       9      19      -4.1608315
      10      19      -3.5220265
      11      19      -2.7536139
      12      19      -2.6069121
      13      19      -1.5735016
      14      19       0.3797271
      15      19       0.6552203
      16      19       2.1131177
      17      19       3.7156730
      18      19       4.9915867
      19      19       5.9831753
      20      19       6.4013729
      21      19       8.9748755
      22      19       8.3856878
      23      19       6.8342185
      24      19       7.8462658
      25      19       7.5777903
      26      19       6.5649638
      27      19       5.1992221
      28      19       3.9020066
      29      19       0.6029050
      30      19      -1.7860878
      31      19      -2.6824474
       0      20      -4.3118129
       1      20      -6.3579478
       2      20      -6.7436762
       3      20      -5.5700321
       4      20      -5.6658707
       5      20      -4.9357862
       6      20      -5.0053306
       7      20      -5.1557403
       8      20      -4.7613053
       9      20      -4.6450434
      10      20      -3.7154245
      11      20      -1.6675544
      12      20      -0.7673221
      13      20      -0.5510841
      14      20       0.4256486
      15      20       0.5453801
      16      20       2.3321433
      17      20       3.5629764
      18      20       3.7825651
      19      20       4.6850920
      20      20       4.8571186
      21      20       6.8931332
      22      20       8.0097218
      23      20       6.7706828
      24      20       7.1038413
      25      20       6.0787868
      26      20       4.8855400
      27      20       4.1414590
      28      20       2.8377967
      29      20      -0.1078256
      30      20      -1.7277220
      31      20      -2.8330610
       0      21      -4.1322956
       1      21      -4.9703431
       2      21      -6.3265514
       3      21      -6.0005994
       4      21      -6.1717596
       5      21      -6.2912140
       6      21      -5.4662609
       7      21      -4.2329402
       8      21      -3.7629986
       9      21      -3.3540487
      10      21      -2.5528128
      11      21      -1.2393380
      12      21      -1.4174674
      13      21      -0.0989779
      14      21      -0.3295606
      15      21      -0.5776881
      16      21       1.2955276
      17      21       1.7867537
      18      21       2.5741510
      19      21       3.5127854
      20      21       3.4349623
      21      21       4.1512947
      22      21       5.6417952
      23      21       6.3922935
      24      21       5.5581121
      25      21       3.8054419
      26      21       3.6134284
      27      21       2.3544621
      28      21       1.1302533
      29      21      -0.2674496
      30      21      -1.5723997
      31      21      -3.0879197
       0      22      -3.9170432
       1      22      -4.5112624
       2      22      -5.1212769
       3      22      -4.5597692
       4      22      -4.4866896
       5      22      -4.9900751
       6      22      -4.8742242
       7      22      -3.6715972
       8      22      -3.3265312
       9      22      -3.7951965
      10      22      -2.0380685
      11      22      -1.2150180
      12      22      -1.5200615
      13      22      -0.7633547
      14      22      -1.5825007
      15      22      -1.6286469
      16      22      -0.2717533
      17      22       0.6500565
      18      22       1.2942677
      19      22       2.5038028
      20      22       2.9227428
      21      22       2.5558052
      22      22       3.0961185
      23      22       4.5815182
      24      22       4.3614612
      25      22       3.2168398
      26      22       2.5500290
      27      22       1.8213701
      28      22       0.4648640
      29      22       0.0130504
      30      22      -1.2803743
      31      22      -2.9560204
       0      23      -2.7309744
       1      23      -4.6816645
       2      23      -4.9928503
       3      23      -4.1149616
       4      23      -4.6525669
       5      23      -2.9366093
       6      23      -3.0459638
       7      23      -3.4212444
       8      23      -2.3108320
       9      23      -2.5506451
      10      23      -1.5309362
      11      23      -2.0589566
      12      23      -2.1563373
      13      23      -1.6625366
      14      23      -2.4645743
      15      23      -3.2362671
      16      23      -1.5132940
      17      23       0.0639274
      18      23       0.6951926
      19      23       0.3398082
      20      23       0.3407230
      21      23       1.4495870
      22      23       2.2254038
      23      23       3.6971495
      24      23       4.5684514
      25      23       3.5310795
      26      23       2.7662978
      27      23       2.2105799
      28      23       1.8574198
      29      23       1.0587242
      30      23      -0.9027172
      31      23      -2.4169054
       0      24      -1.5604553
       1      24      -3.3253725
       2      24      -3.8145661
       3      24      -3.6263375
       4      24      -3.8136938
       5      24      -2.5213175
       6      24      -2.5553193
       7      24      -3.4719298
       8      24      -3.0091236
       9      24      -1.7200973
      10      24      -1.8890911
      11      24      -2.3024895
      12      24      -2.5963867
      13      24      -3.0319486
      14      24      -3.7919121
      15      24      -3.8378401
      16      24      -3.0035958
      17      24      -1.5249202
      18      24      -1.3956847
      19      24      -1.1766014
      20      24      -0.9490774
      21      24       0.0163436
      22      24       1.1642711
      23      24       2.0863369
      24      24       3.0669315
      25      24       2.4914162
      26      24       2.7297721
      27      24       2.4438694
      28      24       2.4132736
      29      24       1.5259266
      30      24       0.9191799
      31      24      -0.0268215
       0      25      -0.9489052
       1      25      -2.0418298
       2      25      -2.6557512
       3      25      -2.9715545
       4      25      -2.7735720
       5      25      -1.1225115
       6      25      -1.1926239
       7      25      -2.3149507
       8      25      -1.9193871
       9      25      -0.4988577
      10      25      -1.5144651
      11      25      -2.5621781
      12      25      -3.6565375
      13      25      -3.8499470
      14      25      -4.1690655
      15      25      -4.1710796
      16      25      -3.9792259
      17      25      -2.4030554
      18      25      -1.8900408
      19      25      -1.9202774
      20      25      -0.7342093
      21      25      -0.0684556
      22      25      -0.3175468
      23      25       0.3486252
      24      25       1.6762910
      25      25       2.6052673
      26      25       3.6296141
      27      25       2.6776361
      28      25       2.3574247
      29      25       1.3328949
      30      25       2.2531447
      31      25       1.6368312
       0      26       0.2825222
       1      26      -0.3241849
       2      26      -0.8205023
       3      26      -1.6788667
       4      26      -1.5254068
       5      26      -0.8288320
       6      26      -0.5702904
       7      26      -0.8038490
       8      26      -0.9671253
       9      26      -0.8847629
      10      26      -1.3797203
      11      26      -2.5521419
      12      26      -2.5183978
      13      26      -3.5394795
      14      26      -5.6370831
